,state,action,reward,value
409,"(6, 0)",down,-0.28614529354171925,0.054410769029498506
410,"(6, 0)",right,0.9759138879751239,0.13029649337622834
411,"(6, 0)",upper-right,1.0990195135927845,9.865697688912919
412,"(6, 0)",lower-right,0.6268835585932049,0.30342322999301913
413,"(6, 1)",up,0.12310562561766059,0.21818918948395688
414,"(6, 1)",down,-0.349030329381919,-0.02539083608024402
415,"(6, 1)",left,-0.9759138879751239,-0.08807919193956451
416,"(6, 1)",right,0.9608279654492811,15.834926214123296
417,"(6, 1)",upper-left,-0.8768943743823394,-0.07278082349864955
418,"(6, 1)",upper-right,1.1231056256176606,0.19757869302360792
419,"(6, 1)",lower-left,-1.2620591815168432,-0.29546530872899235
420,"(6, 1)",lower-right,0.5175543501536715,0.1275872003846304
421,"(6, 2)",up,0.16227766016837952,0.5322266130075968
422,"(6, 2)",down,-0.4432736152956096,4.009836558280878
423,"(6, 2)",left,-0.9608279654492811,-0.19958596633204928
424,"(6, 2)",right,0.9262096826685897,41.25764187099815
425,"(6, 2)",upper-left,-0.8377223398316205,2.966941770631972
426,"(6, 2)",upper-right,1.1622776601683795,0.23580000873443438
427,"(6, 2)",lower-left,-1.3098582948312,-0.4955647551626008
428,"(6, 2)",lower-right,0.33385053542218923,0.726001913706018
429,"(6, 3)",up,0.2360679774997898,9.63688070501742
430,"(6, 3)",down,-0.5923591472464005,9.671059450565687
431,"(6, 3)",left,-0.9262096826685897,0.10252210674238328
432,"(6, 3)",right,0.8218544151266947,56.99696064642771
433,"(6, 3)",upper-left,-0.7639320225002102,6.8446372041502395
434,"(6, 3)",upper-right,1.2360679774997898,0.8647911556828312
435,"(6, 3)",lower-left,-1.3694832979641993,2.3765558937767977
436,"(6, 3)",lower-right,-0.0,9.483691507423508
437,"(6, 4)",up,0.41421356237309515,65.1886528533106
438,"(6, 4)",down,-0.8218544151266947,62.52307378106532
439,"(6, 4)",left,-0.8218544151266947,182.56477815638925
440,"(6, 4)",right,0.41421356237309515,177.17650779528907
441,"(6, 4)",upper-left,-0.5857864376269049,48.41788624725993
442,"(6, 4)",upper-right,10.0,812.4755494897455
443,"(6, 4)",lower-left,-1.4142135623730951,50.9224048921963
444,"(6, 4)",lower-right,-0.5857864376269049,134.75789609900073
445,"(6, 5)",up,10.0,772.758282682669
446,"(6, 5)",down,-1.0,9.1169279090767
447,"(6, 5)",left,-0.41421356237309515,85.00666789088251
